"";"OTU";"Sample";"Abundance";"names";"host_species";"gut_section";"region";"location";"year";"month";"day";"sample_lab";"Time";"SL..mm.";"FL..mm.";"TW..g.";"GW..g.";"Sex";"Sample_or_Control";"input";"filtered";"denoisedF";"denoisedR";"merged";"nochim";"perc_reads_retained";"Kingdom";"Phylum";"Class";"Order"
"19";"ASV_4";"581_5";0,146752319771592;"581_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Palfrey Island North";2014;12;14;"S247";"16:45";190;235;381,1;308,6;"F";"Sample";35144;17699;17222;17193;16071;15963;45,42169360346;"Bacteria";"Pseudomonadota";"GammaPseudomonadota";"Pseudomonadales"
"20";"ASV_1";"E3_4";0,139456734808177;"E3_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"Tuttle Beach";2011;3;18;"S144";"15:45";NA;NA;NA;308;"M";"Sample";38381;7645;7366;7375;7155;7142;18,608165498554;"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales"
"21";"ASV_12";"581_5";0,137615988579586;"581_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Palfrey Island North";2014;12;14;"S247";"16:45";190;235;381,1;308,6;"F";"Sample";35144;17699;17222;17193;16071;15963;45,42169360346;"Bacteria";"Desulfobacterota";"Desulfovibrionia";"Desulfovibrionales"
"22";"ASV_9";"E2_4";0,115589887640449;"E2_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"North Direction Island";2011;3;18;"S142";"10:30";NA;NA;NA;575;"F";"Sample";87227;40995;40583;40479;39686;39332;45,0915427562567;"Bacteria";"Bacillota";"Clostridia";"Lachnospirales"
"23";"ASV_16";"E2_4";0,103370786516854;"E2_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"North Direction Island";2011;3;18;"S142";"10:30";NA;NA;NA;575;"F";"Sample";87227;40995;40583;40479;39686;39332;45,0915427562567;"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales"
"24";"ASV_12";"E2_5";0,102176370830978;"E2_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"North Direction Island";2011;3;18;"S143";"10:30";NA;NA;NA;575;"F";"Sample";79090;37948;37479;37517;36730;36657;46,3484637754457;"Bacteria";"Desulfobacterota";"Desulfovibrionia";"Desulfovibrionales"
"25";"ASV_11";"E1_4";0,092335715286535;"E1_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"North Direction Island";2011;3;18;"S140";"09:40";NA;NA;NA;1262;"M";"Sample";84311;45242;45120;45137;44201;43946;52,1236849284198;"Bacteria";"Bacillota";"Clostridia";"Clostridiales"
"26";"ASV_12";"E1_5";0,0838491840180079;"E1_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"North Direction Island";2011;3;18;"S141";"09:40";NA;NA;NA;1262;"M";"Sample";60904;28698;28310;28291;27674;27425;45,0298830947064;"Bacteria";"Desulfobacterota";"Desulfovibrionia";"Desulfovibrionales"
"27";"ASV_12";"E3_5";0,0807881773399015;"E3_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Tuttle Beach";2011;3;18;"S145";"15:45";NA;NA;NA;308;"M";"Sample";53784;24444;23915;23878;22883;22812;42,4141008478358;"Bacteria";"Desulfobacterota";"Desulfovibrionia";"Desulfovibrionales"
"28";"ASV_9";"611_5";0,0800395256916996;"611_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Between South Island and Palfrey Island";2014;12;18;"S248";"09:45";210;256;493;391,5;"M";"Sample";30511;15091;14673;14708;13943;13898;45,5507849628003;"Bacteria";"Bacillota";"Clostridia";"Lachnospirales"
"29";"ASV_12";"E05_5";0,0796236483639938;"E05_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Granite Bluffs";2005;3;22;"S147";"09:00";NA;NA;NA;656;"";"Sample";107092;47810;47106;47221;45847;45378;42,3729130093751;"Bacteria";"Desulfobacterota";"Desulfovibrionia";"Desulfovibrionales"
"30";"ASV_9";"E3_4";0,0737888546625595;"E3_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"Tuttle Beach";2011;3;18;"S144";"15:45";NA;NA;NA;308;"M";"Sample";38381;7645;7366;7375;7155;7142;18,608165498554;"Bacteria";"Bacillota";"Clostridia";"Lachnospirales"
"31";"ASV_2";"E2_4";0,0734550561797753;"E2_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"North Direction Island";2011;3;18;"S142";"10:30";NA;NA;NA;575;"F";"Sample";87227;40995;40583;40479;39686;39332;45,0915427562567;"Bacteria";"Bacillota";"Clostridia";"Peptostreptococcales-Tissierellales"
"32";"ASV_4";"E2_5";0,0712266817410967;"E2_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"North Direction Island";2011;3;18;"S143";"10:30";NA;NA;NA;575;"F";"Sample";79090;37948;37479;37517;36730;36657;46,3484637754457;"Bacteria";"Pseudomonadota";"GammaPseudomonadota";"Pseudomonadales"
"33";"ASV_23";"581_5";0,070378301213419;"581_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Palfrey Island North";2014;12;14;"S247";"16:45";190;235;381,1;308,6;"F";"Sample";35144;17699;17222;17193;16071;15963;45,42169360346;"Bacteria";"Spirochaetota";"Spirochaetia";"Spirochaetales"
"34";"ASV_35";"E1_5";0,0690770962296005;"E1_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"North Direction Island";2011;3;18;"S141";"09:40";NA;NA;NA;1262;"M";"Sample";60904;28698;28310;28291;27674;27425;45,0298830947064;"Bacteria";"Bacillota";"Clostridia";"Oscillospirales"
"35";"ASV_12";"611_5";0,0649350649350649;"611_5";"Pomacanthus sexstriatus";"V";"Great Barrier Reef";"Between South Island and Palfrey Island";2014;12;18;"S248";"09:45";210;256;493;391,5;"M";"Sample";30511;15091;14673;14708;13943;13898;45,5507849628003;"Bacteria";"Desulfobacterota";"Desulfovibrionia";"Desulfovibrionales"
"36";"ASV_4";"E1_4";0,0634720470786045;"E1_4";"Pomacanthus sexstriatus";"IV";"Great Barrier Reef";"North Direction Island";2011;3;18;"S140";"09:40";NA;NA;NA;1262;"M";"Sample";84311;45242;45120;45137;44201;43946;52,1236849284198;"Bacteria";"Pseudomonadota";"GammaPseudomonadota";"Pseudomonadales"
