"","568_4","568_5","581_5","611_5","E05_5","E1_4","E1_5","E2_4","E2_5","E3_4","E3_5"
"ASV_730",0,0,10,0,0,0,0,0,0,0,5
"ASV_1542",0,0,0,0,0,0,0,0,1,0,0
"ASV_1695",0,1,0,0,0,0,0,0,0,0,0
"ASV_1510",0,0,0,3,0,0,0,0,0,0,0
"ASV_667",0,0,20,0,0,0,0,0,0,0,0
"ASV_461",0,7,17,0,0,0,0,0,0,0,0
"ASV_1112",0,0,0,0,0,0,0,0,3,0,0
"ASV_1240",0,0,0,0,0,0,0,0,0,2,3
"ASV_1046",0,2,2,4,0,0,0,0,0,0,0
"ASV_1073",0,3,0,0,0,0,0,0,1,0,0
"ASV_1164",0,3,0,0,0,0,1,0,0,0,0
"ASV_1607",0,0,0,0,0,0,0,0,1,0,0
"ASV_1430",0,0,3,0,0,0,0,0,0,0,0
"ASV_1560",0,2,0,0,0,0,0,0,0,0,0
"ASV_1621",0,0,0,0,0,0,0,0,0,0,1
"ASV_1296",0,0,0,0,0,0,0,0,0,0,2
"ASV_1608",0,0,0,0,0,0,0,0,1,0,0
"ASV_1566",0,0,2,0,0,0,0,0,0,0,0
"ASV_1219",0,5,0,0,0,0,0,0,0,0,0
"ASV_1451",0,0,0,0,1,0,0,0,0,0,0
"ASV_1638",0,0,1,0,0,0,0,0,0,0,0
"ASV_1697",0,1,0,0,0,0,0,0,0,0,0
"ASV_1441",0,0,0,3,0,0,0,0,0,0,0
"ASV_1427",0,0,3,0,0,0,0,0,0,0,0
"ASV_1696",0,1,0,0,0,0,0,0,0,0,0
"ASV_1220",0,2,1,0,0,0,0,0,0,0,0
"ASV_1616",0,0,0,0,0,0,0,0,0,0,1
"ASV_1572",0,0,0,2,0,0,0,0,0,0,0
"ASV_670",0,0,0,23,0,0,0,0,0,0,0
"ASV_1433",0,0,3,0,0,0,0,0,0,0,0
"ASV_889",0,0,0,0,0,0,0,0,0,0,3
"ASV_1569",0,0,0,2,0,0,0,0,0,0,0
"ASV_573",0,0,25,0,0,0,0,0,0,0,0
"ASV_1678",0,0,0,0,0,0,0,0,1,0,0
"ASV_894",0,9,0,0,0,0,1,0,0,0,0
"ASV_1190",0,5,0,0,0,0,0,0,0,0,0
"ASV_1684",0,0,0,0,0,0,0,0,0,0,1
"ASV_613",0,3,7,3,1,0,1,0,2,0,0
"ASV_533",0,0,10,0,0,0,4,0,4,0,0
"ASV_562",0,23,0,0,0,0,0,0,0,0,0
"ASV_1024",0,7,0,0,0,0,0,0,0,0,0
"ASV_423",0,9,0,0,0,0,0,0,9,0,5
"ASV_166",0,26,0,18,3,0,11,0,10,0,0
"ASV_580",0,5,6,0,0,0,0,0,0,3,8
"ASV_882",0,0,0,0,0,0,0,0,0,0,8
"ASV_1289",0,0,0,5,0,0,0,0,0,0,0
