"","568_4","568_5","581_5","611_5","E05_5","E1_4","E1_5","E2_4","E2_5","E3_4","E3_5"
"ASV_1015",0,0,0,0,0,0,2,1,1,0,0
"ASV_835",0,3,0,8,0,0,0,0,0,0,0
"ASV_1721",0,0,0,0,0,0,1,0,0,0,0
"ASV_950",0,0,0,0,0,0,0,4,0,0,0
"ASV_1018",0,0,0,0,0,0,0,0,0,3,5
"ASV_1121",0,3,0,0,0,0,0,0,0,0,2
"ASV_1176",0,0,0,0,0,0,3,0,0,0,0
"ASV_1209",0,0,0,0,0,0,3,0,0,0,0
"ASV_1397",0,0,0,0,0,0,0,1,0,3,0
"ASV_1223",0,0,5,0,0,0,0,0,0,0,0
"ASV_1549",0,0,0,0,0,0,0,0,0,0,2
"ASV_1246",0,1,0,1,0,0,1,0,0,0,0
"ASV_623",0,10,0,6,0,0,0,0,0,3,3
"ASV_937",0,0,0,7,1,0,0,0,0,0,1
"ASV_1726",0,0,0,0,0,0,1,0,0,0,0
"ASV_1752",0,0,0,0,0,0,0,0,0,0,1
"ASV_443",0,0,12,0,0,0,0,5,5,0,0
"ASV_1026",0,3,0,0,0,0,0,0,0,0,3
"ASV_1698",0,1,0,0,0,0,0,0,0,0,0
"ASV_1703",0,0,1,0,0,0,0,0,0,0,0
"ASV_1511",0,0,0,3,0,0,0,0,0,0,0
"ASV_392",0,20,0,13,0,0,0,1,0,0,5
"ASV_1571",0,0,0,2,0,0,0,0,0,0,0
"ASV_1663",0,0,0,0,0,0,1,0,0,0,0
"ASV_729",0,0,17,0,0,0,0,0,0,0,0
"ASV_1197",0,0,0,6,0,0,0,0,0,0,0
"ASV_1070",5,0,0,0,0,0,0,0,0,0,0
"ASV_1632",0,1,0,0,0,0,0,0,0,0,0
"ASV_654",10,3,1,0,0,0,0,0,0,0,0
"ASV_786",3,3,0,7,0,0,0,0,0,0,0
"ASV_1179",0,0,0,0,0,0,2,1,0,0,0
"ASV_333",0,0,0,0,0,0,0,21,0,0,0
"ASV_9",15,14,0,0,3,232,7,651,5,242,17
"ASV_40",36,0,22,7,0,12,0,40,0,204,10
"ASV_87",0,23,3,0,0,40,8,8,3,0,0
"ASV_192",52,0,0,17,0,0,0,0,0,0,0
"ASV_47",11,19,0,154,3,10,0,17,0,49,9
"ASV_213",19,50,0,0,0,0,0,0,0,0,0
"ASV_1221",0,1,4,0,0,0,0,0,0,0,0
"ASV_1269",0,0,0,0,0,0,0,1,1,0,0
"ASV_1109",0,0,0,0,0,0,0,3,0,0,0
"ASV_1368",0,3,0,0,0,0,0,0,0,0,0
"ASV_1319",0,0,4,0,0,0,0,0,0,0,0
"ASV_712",0,0,0,3,1,0,3,0,0,3,3
"ASV_1591",0,0,0,0,0,1,0,0,0,0,0
"ASV_892",0,0,0,0,0,1,0,2,1,0,0
"ASV_421",2,0,7,0,0,2,2,4,4,0,0
"ASV_1537",0,0,0,0,0,0,0,1,0,0,0
"ASV_1063",0,0,0,0,0,0,4,0,0,0,0
"ASV_29",0,12,12,270,22,0,36,13,14,13,33
"ASV_802",0,13,0,0,0,0,0,0,0,0,0
"ASV_309",0,0,0,0,0,0,34,0,0,0,0
"ASV_479",0,0,25,0,0,0,0,3,0,0,0
"ASV_1193",0,0,5,0,0,0,0,0,0,0,0
"ASV_445",0,8,0,0,3,0,4,0,0,6,6
"ASV_66",0,0,36,25,8,0,24,9,15,10,16
"ASV_197",0,12,0,54,0,0,15,0,0,0,0
"ASV_415",0,0,0,21,0,0,0,0,0,0,15
"ASV_1630",1,0,0,0,0,0,0,0,0,0,0
"ASV_1597",0,0,0,0,0,0,0,1,0,0,0
"ASV_1539",0,0,0,0,0,0,0,1,0,0,0
"ASV_1554",0,2,0,0,0,0,0,0,0,0,0
"ASV_1694",0,1,0,0,0,0,0,0,0,0,0
"ASV_1545",0,0,0,0,0,0,0,0,0,0,2
"ASV_587",0,0,2,0,0,0,0,9,0,0,0
"ASV_1140",0,0,0,0,0,0,4,0,0,0,0
"ASV_1629",1,0,0,0,0,0,0,0,0,0,0
"ASV_1692",1,0,0,0,0,0,0,0,0,0,0
"ASV_384",0,0,5,0,2,0,1,12,1,0,0
"ASV_1370",0,3,0,0,0,0,0,0,0,0,0
"ASV_584",0,0,0,0,0,0,2,9,0,0,0
"ASV_486",0,0,0,0,0,0,0,12,1,0,0
"ASV_1099",0,0,0,5,0,0,2,0,0,0,0
"ASV_1346",0,0,0,0,0,0,0,1,0,0,0
"ASV_909",0,0,0,0,0,0,1,3,0,0,0
"ASV_1357",0,0,0,0,0,0,0,0,0,0,3
"ASV_939",0,0,0,3,0,0,0,1,0,0,3
"ASV_1423",0,0,3,0,0,0,0,0,0,0,0
"ASV_511",0,0,0,23,0,0,0,0,3,0,2
"ASV_1593",0,0,0,0,0,0,1,0,0,0,0
"ASV_1496",0,0,2,0,0,0,0,0,0,0,0
"ASV_1411",2,0,0,0,0,0,0,0,0,0,0
"ASV_1490",0,2,0,0,0,0,0,0,0,0,0
"ASV_1083",0,0,0,0,0,0,4,0,0,0,0
"ASV_1317",0,0,4,0,0,0,0,0,0,0,0
"ASV_1421",0,1,0,2,0,0,0,0,0,0,0
"ASV_590",0,0,0,0,0,0,0,0,0,6,15
"ASV_529",0,0,28,0,0,0,0,0,0,0,0
"ASV_936",0,0,10,0,0,0,0,0,0,0,0
"ASV_1347",0,0,0,0,0,0,0,1,0,0,0
"ASV_1344",0,0,0,0,0,0,0,1,0,0,0
"ASV_881",0,0,0,0,0,0,0,2,3,0,1
"ASV_1502",0,0,2,0,0,0,0,0,0,0,0
"ASV_1348",0,0,0,0,0,0,0,1,1,0,0
"ASV_1561",0,0,2,0,0,0,0,0,0,0,0
"ASV_1465",0,0,0,0,0,0,0,1,0,0,0
"ASV_1096",0,0,3,0,0,0,0,0,1,0,1
"ASV_372",0,0,17,0,3,0,0,6,3,0,0
"ASV_1182",0,0,0,0,0,0,0,2,1,0,0
"ASV_1677",0,0,0,0,0,0,0,0,1,0,0
"ASV_1435",0,0,1,0,0,0,0,1,0,0,0
"ASV_796",0,0,0,0,5,0,0,0,0,0,0
"ASV_918",0,2,0,0,0,0,0,0,0,0,5
"ASV_1488",0,2,0,0,0,0,0,0,0,0,0
"ASV_872",0,0,7,0,0,0,2,0,0,3,0
"ASV_1105",0,0,0,0,2,0,0,0,0,0,0
"ASV_1128",0,0,4,0,0,0,0,0,1,0,0
"ASV_1586",0,0,0,0,1,0,0,0,0,0,0
"ASV_448",0,0,0,0,0,0,2,9,4,0,0
"ASV_1669",0,0,0,0,0,0,0,1,0,0,0
"ASV_452",0,14,0,0,0,0,0,0,9,0,0
"ASV_137",0,0,28,21,2,0,8,4,11,0,14
"ASV_719",0,0,0,0,0,0,0,0,8,0,0
"ASV_1064",0,0,0,0,0,0,0,3,0,0,0
"ASV_277",0,0,0,0,0,0,0,9,19,0,0
"ASV_1371",0,2,0,0,0,0,0,0,0,0,1
"ASV_842",0,0,0,0,2,0,3,0,1,0,0
"ASV_999",0,0,0,0,0,0,0,0,0,0,6
"ASV_1472",0,0,0,0,0,0,0,0,1,0,0
"ASV_89",0,44,0,6,0,0,0,2,5,26,67
"ASV_671",0,0,0,20,0,0,0,0,0,0,0
"ASV_471",0,0,0,0,0,0,0,0,0,15,19
"ASV_738",0,0,0,0,0,0,0,0,0,0,12
"ASV_123",0,3,0,0,28,0,0,5,13,0,9
"ASV_546",0,0,0,0,0,0,15,0,0,0,0
"ASV_1144",0,0,0,0,0,0,2,0,2,0,0
"ASV_1416",0,2,0,0,0,0,0,0,0,0,0
"ASV_916",0,9,0,0,0,0,0,0,0,0,0
"ASV_566",0,0,0,25,0,0,0,0,0,0,3
"ASV_628",0,0,0,0,0,0,13,0,0,0,0
"ASV_1425",0,0,3,0,0,0,0,0,0,0,0
"ASV_736",0,0,0,0,0,0,0,3,4,0,0
"ASV_454",0,0,0,0,10,0,0,0,3,0,0
"ASV_414",0,24,8,7,0,0,0,0,0,0,0
"ASV_1205",0,0,0,0,2,0,0,0,0,0,0
"ASV_1187",0,0,0,0,0,0,0,0,0,0,4
"ASV_220",0,2,0,0,0,0,0,7,16,0,18
"ASV_560",0,0,0,0,0,0,3,1,5,0,4
"ASV_759",0,0,0,5,4,0,0,0,0,0,0
"ASV_1563",0,0,2,0,0,0,0,0,0,0,0
"ASV_978",0,1,0,0,1,0,0,2,0,0,0
"ASV_1722",0,0,0,0,0,0,1,0,0,0,0
"ASV_1636",0,1,0,0,0,0,0,0,0,0,0
"ASV_808",0,0,0,0,0,0,0,6,0,0,0
"ASV_1598",0,0,0,0,0,0,0,1,0,0,0
"ASV_991",0,0,0,0,0,0,0,4,0,0,0
"ASV_1725",0,0,0,0,0,0,1,0,0,0,0
"ASV_542",10,7,0,1,0,0,0,0,0,0,0
"ASV_686",6,2,0,0,3,0,0,0,0,0,0
"ASV_1633",0,1,0,0,0,0,0,0,0,0,0
"ASV_262",0,0,1,0,4,0,4,14,4,0,5
"ASV_718",0,0,0,0,0,0,0,6,1,0,0
"ASV_1523",0,0,0,0,1,0,0,0,0,0,0
"ASV_1679",0,0,0,0,0,0,0,0,1,0,0
"ASV_746",0,0,0,0,6,0,0,0,0,0,0
"ASV_460",0,9,9,0,0,0,0,0,0,4,9
"ASV_1676",0,0,0,0,0,0,0,0,1,0,0
"ASV_1166",0,1,1,0,0,0,0,0,0,0,2
"ASV_867",0,11,0,0,0,0,0,0,0,0,0
"ASV_450",0,0,5,0,0,0,7,1,5,0,2
"ASV_588",0,0,0,0,8,0,0,0,0,0,0
"ASV_1076",0,0,7,0,0,0,0,0,0,0,0
"ASV_1429",0,0,3,0,0,0,0,0,0,0,0
"ASV_1671",0,0,0,0,0,0,0,1,0,0,0
"ASV_347",0,0,0,0,1,0,2,6,0,53,2
"ASV_1708",0,0,0,1,0,0,0,0,0,0,0
"ASV_148",0,0,0,0,10,1,3,25,0,59,0
"ASV_1615",0,0,0,0,0,0,0,0,0,0,1
"ASV_1267",0,0,0,0,0,0,0,2,0,0,0
"ASV_1259",0,0,0,0,2,0,0,0,0,0,0
"ASV_1470",0,0,0,0,0,0,0,0,1,0,0
"ASV_850",0,0,12,0,0,0,0,0,0,0,0
"ASV_440",0,2,0,0,5,0,1,0,3,0,6
"ASV_1748",0,0,0,0,0,0,0,0,0,2,0
"ASV_825",0,12,0,0,0,0,0,0,0,0,0
"ASV_311",0,6,0,0,10,0,0,0,4,0,9
"ASV_776",0,0,8,0,0,0,0,3,0,0,0
"ASV_1130",0,0,0,5,1,0,0,0,0,0,0
"ASV_417",0,0,0,0,0,0,9,3,7,0,0
"ASV_503",0,0,18,0,4,0,0,0,0,0,0
"ASV_591",0,8,0,0,2,0,0,0,3,0,0
"ASV_1068",0,0,0,0,0,0,0,0,0,0,5
"ASV_563",0,12,6,0,2,0,0,0,0,0,0
"ASV_724",0,0,0,0,0,0,0,0,7,0,0
"ASV_493",0,0,5,0,7,0,0,0,0,0,0
"ASV_1567",0,0,2,0,0,0,0,0,0,0,0
"ASV_1237",0,0,0,0,0,0,2,0,0,3,0
"ASV_668",0,0,13,0,0,0,0,0,3,0,0
"ASV_1298",0,0,0,0,1,0,0,0,0,0,0
"ASV_848",0,0,0,0,0,0,0,0,5,0,0
"ASV_1035",0,0,0,0,0,0,0,0,4,0,0
"ASV_1247",0,0,4,0,0,0,0,0,0,0,0
"ASV_910",0,0,0,0,0,0,0,0,5,0,0
"ASV_308",0,0,0,0,6,0,0,3,7,0,11
"ASV_772",0,2,0,0,1,0,0,0,4,0,0
"ASV_1526",0,0,0,0,1,0,0,0,0,0,0
"ASV_699",0,0,0,0,3,0,0,0,4,0,0
"ASV_1274",0,0,0,0,0,0,0,0,0,0,3
"ASV_1543",0,0,0,0,0,0,0,0,1,0,0
"ASV_1248",0,0,4,0,0,0,0,0,0,0,0
"ASV_378",0,0,0,0,3,0,0,0,10,0,10
"ASV_1363",0,3,0,0,0,0,0,0,0,0,0
"ASV_1057",0,0,0,0,3,0,0,0,0,0,0
"ASV_1459",0,0,0,0,0,0,2,0,0,0,0
"ASV_1006",0,0,0,10,0,0,0,0,0,0,0
"ASV_1304",0,0,0,0,0,0,0,2,0,0,0
"ASV_1149",0,0,0,0,0,0,0,0,3,0,0
"ASV_601",0,0,0,0,0,0,0,2,8,0,0
"ASV_1153",0,0,0,0,0,0,0,0,0,0,4
"ASV_1090",0,0,0,0,0,0,0,0,3,0,1
"ASV_1398",0,0,0,0,0,0,0,0,1,0,0
"ASV_171",0,9,16,0,7,0,8,5,13,0,3
"ASV_805",0,0,4,4,0,0,0,0,3,0,0
"ASV_1038",0,0,0,0,0,0,0,0,0,0,6
"ASV_1139",0,0,0,0,1,0,0,0,1,0,0
"ASV_1463",0,0,0,0,0,0,0,1,0,0,0
"ASV_1012",0,0,0,0,3,0,0,0,0,0,0
"ASV_851",0,0,12,0,0,0,0,0,0,0,0
"ASV_1475",0,0,0,0,0,0,0,0,0,0,2
"ASV_1089",0,0,0,0,0,0,0,0,3,0,0
"ASV_383",0,0,14,0,11,0,0,0,0,0,0
"ASV_570",0,0,0,0,0,0,0,3,5,0,5
"ASV_523",0,21,0,0,0,0,3,0,0,0,0
"ASV_1168",0,0,6,0,0,0,0,0,0,0,0
"ASV_1233",0,0,0,0,0,0,3,0,0,0,0
"ASV_1354",0,0,0,0,0,0,0,0,2,0,0
"ASV_1507",0,0,2,0,0,0,0,0,0,0,0
"ASV_859",0,0,0,0,4,0,0,0,0,0,0
"ASV_793",0,0,0,0,3,0,0,0,0,0,0
"ASV_489",0,7,0,0,6,0,0,0,0,0,6
"ASV_1342",0,0,0,0,0,0,0,1,0,0,0
"ASV_285",0,0,18,0,1,0,0,2,16,0,0
"ASV_1132",0,0,0,0,0,0,0,0,0,0,1
"ASV_374",0,6,9,3,0,0,8,0,3,0,4
"ASV_708",0,7,0,0,0,0,0,0,4,0,0
"ASV_908",0,0,0,0,0,0,6,0,0,0,0
"ASV_1067",0,0,0,0,0,0,0,0,0,0,5
"ASV_972",0,0,0,0,0,0,0,0,0,0,7
"ASV_1605",0,0,0,0,0,0,0,0,1,0,0
"ASV_976",0,3,0,0,2,0,0,0,0,0,0
"ASV_1169",0,0,6,0,0,0,0,0,0,0,0
"ASV_969",0,0,0,0,0,0,0,1,3,0,0
"ASV_1301",0,0,0,0,0,0,2,0,0,0,0
"ASV_370",0,13,11,0,3,0,0,0,5,0,0
"ASV_865",0,0,0,0,0,0,0,0,5,0,0
"ASV_692",0,0,0,0,0,0,4,0,5,0,0
"ASV_1148",0,0,0,0,0,0,0,0,3,0,0
"ASV_1268",0,0,0,0,0,0,0,1,1,0,0
"ASV_1699",0,1,0,0,0,0,0,0,0,0,0
"ASV_1084",0,0,0,0,0,0,4,0,0,0,0
"ASV_707",0,0,0,0,6,0,0,0,0,0,0
"ASV_538",0,18,0,0,0,0,0,0,3,0,0
"ASV_958",0,0,9,0,0,0,0,0,0,0,0
"ASV_1138",0,0,0,0,2,0,0,0,0,0,0
"ASV_952",0,0,0,0,0,0,0,1,4,0,0
"ASV_1428",0,0,3,0,0,0,0,0,0,0,0
"ASV_296",0,0,0,0,8,0,0,7,10,0,0
"ASV_69",0,9,3,15,12,0,28,6,32,4,12
"ASV_857",0,0,0,14,0,0,0,0,0,0,0
"ASV_606",0,0,0,0,5,0,0,1,3,0,0
"ASV_346",0,0,13,0,8,0,0,0,0,0,5
"ASV_1236",0,0,0,0,0,0,3,0,0,0,0
"ASV_206",0,7,15,11,8,0,3,0,2,3,16
"ASV_1331",0,0,0,0,1,0,0,0,0,0,0
"ASV_222",0,20,8,12,12,0,3,0,0,0,0
"ASV_834",0,0,0,0,0,0,0,0,0,0,9
"ASV_80",0,14,26,19,21,0,17,0,0,0,8
"ASV_49",0,71,51,31,11,0,49,0,2,0,10
"ASV_244",0,0,20,0,10,0,0,0,0,0,17
"ASV_23",0,69,163,42,69,0,30,1,2,0,34
"ASV_368",0,0,0,0,16,0,0,0,0,0,0
"ASV_170",0,11,26,0,6,0,2,0,0,19,28
"ASV_36",0,27,100,37,26,0,8,3,7,18,67
"ASV_54",0,4,60,4,37,0,0,0,0,11,67
"ASV_648",0,0,0,0,0,0,0,3,6,0,0
"ASV_473",0,0,9,0,4,0,0,1,4,0,1
"ASV_1218",0,5,0,0,0,0,0,0,0,0,0
"ASV_1222",0,1,0,0,1,0,0,0,0,0,0
"ASV_1322",0,0,2,0,0,0,0,0,0,0,1
"ASV_1011",0,0,0,0,3,0,0,0,0,0,0
"ASV_1239",0,0,0,0,0,0,0,0,2,0,0
"ASV_1613",0,0,0,0,0,0,0,0,0,0,1
"ASV_1503",0,0,2,0,0,0,0,0,0,0,0
"ASV_490",0,3,0,0,4,0,2,0,0,0,8
"ASV_1639",0,0,1,0,0,0,0,0,0,0,0
"ASV_1581",0,0,0,0,1,0,0,0,0,0,0
"ASV_1367",0,3,0,0,0,0,0,0,0,0,0
"ASV_1360",0,0,0,0,0,0,0,0,0,0,3
"ASV_1066",0,0,0,0,0,0,0,0,3,0,0
"ASV_1447",0,0,0,0,1,0,0,0,0,0,0
"ASV_656",0,0,20,0,0,0,0,0,0,0,0
"ASV_1617",0,0,0,0,0,0,0,0,0,0,1
"ASV_932",0,9,0,0,0,0,0,0,0,0,0
"ASV_753",0,0,0,0,6,0,0,0,0,0,0
"ASV_1479",0,0,0,0,0,0,0,0,0,0,2
"ASV_585",0,0,0,0,0,0,0,2,9,0,0
"ASV_1007",0,0,0,0,0,0,0,0,0,0,4
"ASV_649",0,0,0,0,0,0,0,1,8,0,0
"ASV_1278",0,4,0,0,0,0,0,0,0,0,0
"ASV_933",0,9,0,0,0,0,0,0,0,0,0
"ASV_1003",0,5,0,0,1,0,0,0,0,0,0
"ASV_496",0,9,0,0,0,0,0,0,0,0,15
"ASV_1501",0,0,2,0,0,0,0,0,0,0,0
"ASV_1506",0,0,2,0,0,0,0,0,0,0,0
"ASV_1685",0,0,0,0,0,0,0,0,0,0,1
"ASV_1565",0,0,2,0,0,0,0,0,0,0,0
"ASV_1674",0,0,0,0,0,0,0,0,1,0,0
"ASV_1125",0,0,6,0,0,0,0,0,0,0,0
"ASV_1612",0,0,0,0,0,0,0,0,0,0,1
"ASV_1016",0,0,0,0,0,0,0,1,2,0,0
"ASV_1115",0,0,0,0,0,0,0,0,0,0,5
"ASV_1568",0,0,2,0,0,0,0,0,0,0,0
"ASV_987",0,0,0,0,3,0,0,0,0,0,0
"ASV_1474",0,0,0,0,0,0,0,0,0,0,2
"ASV_1387",0,0,0,0,1,0,0,0,0,0,0
"ASV_1014",0,0,0,0,1,0,0,0,0,0,4
"ASV_211",0,0,0,0,0,0,0,8,29,0,0
"ASV_887",0,0,4,0,2,0,0,0,0,0,0
"ASV_1385",0,0,0,0,1,0,0,0,0,0,0
"ASV_1136",0,0,0,0,2,0,0,0,0,0,0
"ASV_1432",0,0,3,0,0,0,0,0,0,0,0
"ASV_1404",0,0,0,0,0,0,0,0,0,0,2
"ASV_1635",0,1,0,0,0,0,0,0,0,0,0
"ASV_1438",0,0,0,3,0,0,0,0,0,0,0
"ASV_1414",0,2,0,0,0,0,0,0,0,0,0
"ASV_911",0,0,0,0,0,0,0,0,5,0,0
"ASV_755",0,0,0,0,0,0,1,5,1,0,0
"ASV_504",0,0,7,0,0,0,0,5,5,0,0
"ASV_923",0,0,0,12,0,0,0,0,0,0,0
"ASV_108",0,0,19,0,47,0,0,0,0,0,0
"ASV_1478",0,0,0,0,0,0,0,0,0,0,2
"ASV_871",0,0,7,0,0,0,0,0,0,0,3
"ASV_961",0,0,9,0,0,0,0,0,0,0,0
"ASV_1103",0,0,0,0,2,0,0,0,0,0,0
"ASV_312",0,0,9,0,2,0,0,7,5,7,6
"ASV_849",0,3,0,0,3,0,0,0,0,0,0
"ASV_1379",0,0,0,4,0,0,0,0,0,0,0
"ASV_1286",0,0,4,0,0,0,0,0,0,0,0
"ASV_878",0,0,0,0,4,0,0,0,0,0,0
"ASV_429",0,0,0,4,4,0,0,8,1,0,0
"ASV_658",0,0,0,0,6,0,0,0,0,0,3
"ASV_1599",0,0,0,0,0,0,0,1,0,0,0
"ASV_1047",0,2,0,3,1,0,0,0,0,0,0
"ASV_37",0,47,29,75,11,0,20,13,43,3,18
"ASV_202",0,0,0,0,0,0,0,10,29,0,0
"ASV_91",0,0,12,0,8,0,0,0,0,47,81
"ASV_758",0,0,0,6,0,0,0,2,3,0,0
"ASV_756",0,0,15,0,0,0,0,0,0,0,0
"ASV_966",0,0,0,0,3,0,0,0,0,0,0
"ASV_306",0,0,0,0,5,0,0,9,0,7,10
"ASV_1056",0,0,0,0,3,0,0,0,0,0,0
"ASV_1060",0,0,0,0,2,0,1,1,0,0,0
"ASV_943",0,0,0,0,3,0,0,0,0,0,2
"ASV_924",0,0,0,0,2,0,0,0,1,0,0
"ASV_12",0,30,177,34,33,0,138,140,356,14,82
"ASV_72",0,14,33,0,19,0,10,7,18,0,19
"ASV_79",0,10,43,0,0,0,6,17,39,0,0
"ASV_15",0,60,43,36,134,0,340,64,158,0,18
"ASV_369",0,0,0,0,0,0,27,0,0,0,0
"ASV_592",0,6,0,0,6,0,0,0,0,0,0
"ASV_286",0,0,6,13,0,0,0,0,0,0,27
"ASV_714",0,0,0,0,6,0,0,0,0,0,0
"ASV_1117",0,6,0,0,0,0,0,0,0,0,0
"ASV_1081",0,0,0,0,3,0,0,0,0,0,0
"ASV_589",0,0,0,0,0,0,0,5,5,0,0
"ASV_151",0,28,22,0,16,0,0,0,0,0,15
"ASV_228",0,0,8,68,5,0,0,0,0,0,0
"ASV_155",0,0,6,96,5,0,0,0,0,0,7
"ASV_257",0,0,20,0,8,0,0,3,7,0,0
"ASV_459",0,10,0,0,6,0,0,0,0,0,0
"ASV_167",0,0,41,0,11,0,6,2,3,0,0
"ASV_204",0,25,0,15,17,0,0,0,0,0,0
"ASV_1124",0,0,6,0,0,0,0,0,0,0,0
"ASV_1167",0,0,6,0,0,0,0,0,0,0,0
"ASV_435",0,0,0,0,0,0,0,0,0,0,26
"ASV_322",0,18,0,0,12,0,0,0,0,0,0
"ASV_537",0,0,0,0,0,0,16,0,0,0,0
"ASV_114",0,12,0,0,19,0,0,0,0,0,56
"ASV_126",0,0,36,0,12,0,0,5,7,0,22
"ASV_127",0,0,0,0,0,0,0,0,0,30,83
"ASV_598",0,0,0,0,8,0,0,0,0,0,0
"ASV_304",0,0,0,7,6,0,4,6,6,0,0
"ASV_605",0,0,5,0,2,0,0,0,0,8,6
"ASV_661",0,0,0,0,0,0,0,0,0,0,14
"ASV_52",0,0,273,0,0,0,0,0,0,0,0
"ASV_1058",0,0,0,0,3,0,0,0,0,0,0
"ASV_110",0,4,12,0,27,0,7,0,3,0,26
"ASV_1116",0,6,0,0,0,0,0,0,0,0,0
"ASV_1080",0,0,0,0,3,0,0,0,0,0,0
"ASV_81",0,0,32,0,27,0,12,3,0,0,11
"ASV_169",0,71,0,35,0,0,0,0,0,0,0
"ASV_55",0,0,34,34,23,0,0,17,18,0,7
"ASV_603",0,0,23,0,0,0,0,0,0,0,0
"ASV_508",0,0,0,14,3,0,0,0,0,0,6
"ASV_224",0,3,5,0,14,0,3,0,0,8,16
"ASV_763",0,0,0,0,3,0,0,0,2,0,0
"ASV_1059",0,0,0,0,2,0,0,0,1,0,0
"ASV_1135",0,0,0,0,2,0,0,0,0,0,0
"ASV_1029",0,0,8,0,0,0,0,0,0,0,0
"ASV_1211",0,0,0,0,0,0,0,2,0,0,0
"ASV_1054",0,0,0,0,3,0,0,0,0,0,0
"ASV_1389",0,0,0,0,1,0,0,0,0,0,0
"ASV_1391",0,0,0,0,1,0,0,0,0,0,0
"ASV_831",0,0,0,0,4,0,1,0,0,0,0
"ASV_1492",0,2,0,0,0,0,0,0,0,0,0
"ASV_465",0,0,0,0,6,0,0,6,2,0,0
"ASV_1280",0,4,0,0,0,0,0,0,0,0,0
"ASV_1460",0,0,0,0,0,0,2,0,0,0,0
"ASV_1174",0,0,0,0,1,0,0,0,1,0,0
"ASV_1483",0,0,0,0,0,0,0,0,0,0,2
"ASV_697",0,0,9,4,0,0,0,0,0,0,4
"ASV_862",0,0,0,0,4,0,0,0,0,0,0
"ASV_416",0,0,0,0,4,0,3,4,6,0,0
"ASV_1027",0,3,5,0,0,0,0,0,0,0,0
"ASV_1529",0,0,0,0,1,0,0,0,0,0,0
"ASV_1476",0,0,0,0,0,0,0,0,0,0,2
"ASV_799",0,0,0,0,1,0,0,1,4,0,0
"ASV_403",0,0,0,0,0,13,0,1,1,0,0
"ASV_1335",0,0,0,0,0,1,0,0,0,0,0
"ASV_1454",0,0,0,0,0,1,0,0,0,0,0
"ASV_106",0,0,0,0,1,42,0,12,0,4,0
"ASV_1",1901,239,164,34,281,1817,262,89,78,992,32
"ASV_18",0,0,0,21,0,91,21,249,15,0,12
"ASV_596",0,0,2,0,4,0,5,0,1,0,0
"ASV_771",0,5,2,4,2,0,0,0,0,0,0
"ASV_107",0,30,0,0,13,0,12,0,12,6,21
"ASV_260",0,0,0,0,0,0,0,4,26,0,0
"ASV_446",0,0,4,5,0,0,0,1,10,0,2
"ASV_292",0,5,0,0,20,0,0,0,0,0,0
"ASV_317",0,0,0,14,0,0,25,0,0,0,0
"ASV_970",0,0,0,0,0,0,0,0,4,0,0
"ASV_1208",0,0,0,0,0,0,3,0,0,0,0
"ASV_1110",0,0,0,0,0,0,0,1,1,0,0
"ASV_432",0,0,0,0,13,0,0,0,0,0,0
"ASV_287",0,0,0,0,22,0,0,0,0,0,0
"ASV_1290",0,0,0,5,0,0,0,0,0,0,0
"ASV_975",0,8,0,0,0,0,0,0,0,0,0
"ASV_823",0,0,0,0,0,0,0,0,0,0,9
"ASV_1231",0,0,0,0,1,0,0,0,1,0,0
"ASV_1008",0,0,0,0,3,0,0,0,0,0,0
"ASV_90",0,0,2,0,1,0,27,8,46,0,0
"ASV_289",0,0,0,11,11,0,5,0,1,0,7
"ASV_298",0,0,6,11,2,0,0,4,13,0,0
"ASV_664",0,3,0,0,6,0,0,0,0,0,0
"ASV_733",0,0,0,0,6,0,0,0,0,0,0
"ASV_1284",0,0,4,0,0,0,0,0,0,0,0
"ASV_1400",0,0,0,0,0,0,0,0,1,0,0
"ASV_147",0,0,5,4,3,0,16,8,23,0,0
"ASV_189",0,0,0,0,21,0,0,2,4,5,13
"ASV_122",0,5,26,6,4,0,19,0,8,7,24
"ASV_843",0,0,0,0,1,0,1,1,2,0,0
"ASV_1453",0,0,0,0,1,0,0,0,0,0,0
"ASV_442",0,3,3,0,5,0,3,0,3,0,2
"ASV_540",0,0,1,4,2,0,6,0,3,0,0
"ASV_1036",0,0,0,0,0,0,0,0,0,0,6
"ASV_1238",0,0,0,0,0,0,1,0,1,0,0
"ASV_1486",0,2,0,0,0,0,0,0,0,0,0
"ASV_352",0,22,0,8,4,0,2,0,1,0,0
"ASV_594",0,0,7,9,3,0,0,0,0,0,0
"ASV_1156",0,0,0,0,0,0,0,0,0,0,4
"ASV_221",0,0,0,0,29,0,0,0,0,0,0
"ASV_191",0,42,2,0,1,0,0,2,15,0,0
"ASV_141",0,12,0,0,0,0,0,0,0,6,76
"ASV_53",0,0,25,7,0,0,0,18,77,0,0
"ASV_145",0,35,0,99,0,0,0,0,0,0,0
"ASV_789",0,0,9,0,2,0,0,0,0,0,0
"ASV_22",0,22,0,0,24,0,115,48,84,0,0
"ASV_150",0,0,0,0,42,0,0,0,0,0,0
"ASV_133",0,0,0,0,5,0,3,0,0,15,73
"ASV_633",0,0,21,0,0,0,0,0,0,0,0
"ASV_30",0,0,226,0,0,0,0,0,0,28,152
"ASV_1361",0,0,0,0,0,0,0,0,0,0,3
"ASV_104",0,0,155,0,0,0,0,0,0,0,0
