	OTU	Sample	Abundance	names	host_species	gut_section	region	location	year	month	day	sample_lab	Time	SL..mm.	FL..mm.	TW..g.	GW..g.	Sex	Sample_or_Control	input	filtered	denoisedF	denoisedR	merged	nochim	perc_reads_retained	Kingdom	Phylum	Class	Order
80	ASV_27	E2_5	0.021763708	E2_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S143	10:30	NA	NA	NA	575	F	Sample	79090	37948	37479	37517	36730	36657	46.34846378	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales
89	ASV_2	E2_5	0.017947993	E2_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S143	10:30	NA	NA	NA	575	F	Sample	79090	37948	37479	37517	36730	36657	46.34846378	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales
108	ASV_1	E2_5	0.013284341	E2_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S143	10:30	NA	NA	NA	575	F	Sample	79090	37948	37479	37517	36730	36657	46.34846378	Bacteria	Bacteroidota	Bacteroidia	Cytophagales
116	ASV_102	E2_5	0.010033917	E2_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S143	10:30	NA	NA	NA	575	F	Sample	79090	37948	37479	37517	36730	36657	46.34846378	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales
2	ASV_4	E3_4	0.600392047	E3_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	Tuttle Beach	2011	3	18	S144	15:45	NA	NA	NA	308	M	Sample	38381	7645	7366	7375	7155	7142	18.6081655	Bacteria	Pseudomonadota	GammaPseudomonadota	Pseudomonadales
20	ASV_1	E3_4	0.139456735	E3_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	Tuttle Beach	2011	3	18	S144	15:45	NA	NA	NA	308	M	Sample	38381	7645	7366	7375	7155	7142	18.6081655	Bacteria	Bacteroidota	Bacteroidia	Cytophagales
30	ASV_9	E3_4	0.073788855	E3_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	Tuttle Beach	2011	3	18	S144	15:45	NA	NA	NA	308	M	Sample	38381	7645	7366	7375	7155	7142	18.6081655	Bacteria	Bacillota	Clostridia	Lachnospirales
39	ASV_16	E3_4	0.056706805	E3_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	Tuttle Beach	2011	3	18	S144	15:45	NA	NA	NA	308	M	Sample	38381	7645	7366	7375	7155	7142	18.6081655	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales
63	ASV_35	E3_4	0.03108373	E3_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	Tuttle Beach	2011	3	18	S144	15:45	NA	NA	NA	308	M	Sample	38381	7645	7366	7375	7155	7142	18.6081655	Bacteria	Bacillota	Clostridia	Oscillospirales
94	ASV_12	E3_4	0.017362083	E3_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	Tuttle Beach	2011	3	18	S144	15:45	NA	NA	NA	308	M	Sample	38381	7645	7366	7375	7155	7142	18.6081655	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales
95	ASV_14	E3_4	0.017362083	E3_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	Tuttle Beach	2011	3	18	S144	15:45	NA	NA	NA	308	M	Sample	38381	7645	7366	7375	7155	7142	18.6081655	Bacteria	Pseudomonadota	GammaPseudomonadota	Enterobacterales
101	ASV_148	E3_4	0.015681882	E3_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	Tuttle Beach	2011	3	18	S144	15:45	NA	NA	NA	308	M	Sample	38381	7645	7366	7375	7155	7142	18.6081655	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales
110	ASV_2	E3_4	0.012881546	E3_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	Tuttle Beach	2011	3	18	S144	15:45	NA	NA	NA	308	M	Sample	38381	7645	7366	7375	7155	7142	18.6081655	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales
7	ASV_16	E3_5	0.373680507	E3_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Tuttle Beach	2011	3	18	S145	15:45	NA	NA	NA	308	M	Sample	53784	24444	23915	23878	22883	22812	42.41410085	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales
15	ASV_4	E3_5	0.282758621	E3_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Tuttle Beach	2011	3	18	S145	15:45	NA	NA	NA	308	M	Sample	53784	24444	23915	23878	22883	22812	42.41410085	Bacteria	Pseudomonadota	GammaPseudomonadota	Pseudomonadales
27	ASV_12	E3_5	0.080788177	E3_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Tuttle Beach	2011	3	18	S145	15:45	NA	NA	NA	308	M	Sample	53784	24444	23915	23878	22883	22812	42.41410085	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales
44	ASV_35	E3_5	0.048135116	E3_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Tuttle Beach	2011	3	18	S145	15:45	NA	NA	NA	308	M	Sample	53784	24444	23915	23878	22883	22812	42.41410085	Bacteria	Bacillota	Clostridia	Oscillospirales
54	ASV_23	E3_5	0.037016186	E3_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Tuttle Beach	2011	3	18	S145	15:45	NA	NA	NA	308	M	Sample	53784	24444	23915	23878	22883	22812	42.41410085	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales
56	ASV_28	E3_5	0.035186488	E3_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Tuttle Beach	2011	3	18	S145	15:45	NA	NA	NA	308	M	Sample	53784	24444	23915	23878	22883	22812	42.41410085	Bacteria	Bacillota	Clostridia	Clostridia vadinBB60 group
83	ASV_89	E3_5	0.019985925	E3_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Tuttle Beach	2011	3	18	S145	15:45	NA	NA	NA	308	M	Sample	53784	24444	23915	23878	22883	22812	42.41410085	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales
88	ASV_2	E3_5	0.018015482	E3_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Tuttle Beach	2011	3	18	S145	15:45	NA	NA	NA	308	M	Sample	53784	24444	23915	23878	22883	22812	42.41410085	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales
97	ASV_9	E3_5	0.016467277	E3_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Tuttle Beach	2011	3	18	S145	15:45	NA	NA	NA	308	M	Sample	53784	24444	23915	23878	22883	22812	42.41410085	Bacteria	Bacillota	Clostridia	Lachnospirales
109	ASV_17	E3_5	0.01323012	E3_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Tuttle Beach	2011	3	18	S145	15:45	NA	NA	NA	308	M	Sample	53784	24444	23915	23878	22883	22812	42.41410085	Bacteria	Verrucomicrobiota	Lentisphaeria	P.palmC41
111	ASV_27	E3_5	0.012667136	E3_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Tuttle Beach	2011	3	18	S145	15:45	NA	NA	NA	308	M	Sample	53784	24444	23915	23878	22883	22812	42.41410085	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales
112	ASV_171	E3_5	0.012385644	E3_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Tuttle Beach	2011	3	18	S145	15:45	NA	NA	NA	308	M	Sample	53784	24444	23915	23878	22883	22812	42.41410085	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales
