	OTU	Sample	Abundance	names	host_species	gut_section	region	location	year	month	day	sample_lab	Time	SL..mm.	FL..mm.	TW..g.	GW..g.	Sex	Sample_or_Control	input	filtered	denoisedF	denoisedR	merged	nochim	perc_reads_retained	Kingdom	Phylum	Class	Order
114	ASV_89	568_5	0.011869436	568_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Between Bird Islet and South Island	2014	12	12	S346	15:30	236	285	654.3	52.5	M	Sample	38610	18739	18165	18254	17389	17305	44.81999482	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales
6	ASV_16	581_5	0.376159886	581_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Palfrey Island North	2014	12	14	S247	16:45	190	235	381.1	308.6	F	Sample	35144	17699	17222	17193	16071	15963	45.4216936	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales
19	ASV_4	581_5	0.14675232	581_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Palfrey Island North	2014	12	14	S247	16:45	190	235	381.1	308.6	F	Sample	35144	17699	17222	17193	16071	15963	45.4216936	Bacteria	Pseudomonadota	GammaPseudomonadota	Pseudomonadales
21	ASV_12	581_5	0.137615989	581_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Palfrey Island North	2014	12	14	S247	16:45	190	235	381.1	308.6	F	Sample	35144	17699	17222	17193	16071	15963	45.4216936	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales
33	ASV_23	581_5	0.070378301	581_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Palfrey Island North	2014	12	14	S247	16:45	190	235	381.1	308.6	F	Sample	35144	17699	17222	17193	16071	15963	45.4216936	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales
53	ASV_35	581_5	0.037116345	581_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Palfrey Island North	2014	12	14	S247	16:45	190	235	381.1	308.6	F	Sample	35144	17699	17222	17193	16071	15963	45.4216936	Bacteria	Bacillota	Clostridia	Oscillospirales
57	ASV_28	581_5	0.034975018	581_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Palfrey Island North	2014	12	14	S247	16:45	190	235	381.1	308.6	F	Sample	35144	17699	17222	17193	16071	15963	45.4216936	Bacteria	Bacillota	Clostridia	Clostridia vadinBB60 group
66	ASV_17	581_5	0.027837259	581_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Palfrey Island North	2014	12	14	S247	16:45	190	235	381.1	308.6	F	Sample	35144	17699	17222	17193	16071	15963	45.4216936	Bacteria	Verrucomicrobiota	Lentisphaeria	P.palmC41
68	ASV_171	581_5	0.025553176	581_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Palfrey Island North	2014	12	14	S247	16:45	190	235	381.1	308.6	F	Sample	35144	17699	17222	17193	16071	15963	45.4216936	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales
70	ASV_27	581_5	0.024125625	581_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Palfrey Island North	2014	12	14	S247	16:45	190	235	381.1	308.6	F	Sample	35144	17699	17222	17193	16071	15963	45.4216936	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales
